id,name,park_id,latitude,longitude
178,Devils Garden - Arches National Park,3,38,-109
180,Chisos Basin - Big Bend National Park,5,29,-103
177,Blackwoods - Acadia National Park,1,44,-68
182,Cedar Pass - Badlands National Park,4,43,-101
183,Rio Grande Village - Big Bend National Park,5,29,-102
184,North Rim - Gunnison National Park,7,38,-107
185,South Rim - Gunnison National Park,7,38,-107
186,North - Bryce National Park,8,37,-112
179,Seawall - Acadia National Park,1,44,-68
181,Cottonwood - Big Bend National Park,5,29,-103
187,Sunset - Bryce National Park,8,37,-112
188,Squaw Flat - Canyonlands National Park,9,38,-109
189,Willow Flat - Island in the Sky - Canyonlands National Park,9,38,-109
190,Cathedral Valley - Capitol Reef National Park,10,38,-111
191,Cedar Mesa - Capitol Reef National Park,10,38,-111
192,Fruita - Capitol Reef National Park,10,38,-111
193,Lost Creek - Crater Lake National Park,14,42,-122
194,Furnace Creek - Death Valley National Park,16,36,-116
196,Emigrant - Death Valley National Park,16,36,-117
197,Mahogany Flat - Death Valley National Park,16,36,-117
195,Mazama  - Crater Lake National Park,14,42,-122
198,Mesquite Spring - Death Valley National Park,16,36,-117
199,Panamint Springs,16,36,-117
200,Stove Pipe Wells - Death Valley National Park,16,36,-117
201,Sunset - Death Valley National Park,16,36,-116
202,Texas Spring - Death Valley National Park,16,36,-116
203,Thorndike - Death Valley National Park,16,36,-117
204,Wildrose - Death Valley National Park,16,36,-117
206,Savage River - Denali National Park,17,63,-149
207,Teklanika  River - Denali National Park,17,63,-149
205,Riley Creek - Denali National Park,17,63,-148
209,Apgar - Glacier National Park,21,48,-113
208,Flamingo - Everglades National Park,19,25,-80
210,Long Pine Key - Everglades National Park,19,25,-80
211,Avalanche Creek - Glacier National Park,21,48,-113
212,Bowman Lake - Glacier National Park,21,48,-114
213,Fish Creek - Glacier National Park,21,48,-113
214,Kintla Lake - Glacier National Park,21,48,-114
215,Many Glacier - Glacier National Park,21,48,-113
216,Quartz Creek - Glacier National Park,21,48,-114
217,Rising Sun - Glacier National Park,21,48,-113
218,Sprague Creek - Glacier National Park,21,48,-113
219,St. Mary Lake - Glacier National Park,21,48,-113
220,Two Medicine - Glacier National Park,21,48,-113
221,Desert View - Grand Canyon National Park,23,36,-111
222,Mather - Grand Canyon National Park,23,36,-112
223,North Rim - Grand Canyon National Park,23,36,-112
224,Colter Bay - Grand Teton National Park,24,43,-110
225,Gros Ventre - Grand Teton National Park,24,43,-110
226,Jenny Lake - Grand Teton National Park,24,43,-110
227,Trailer Village - Grand Canyon National Park,23,36,-112
228,Lizard Creek - Grand Teton National Park,24,44,-110
229,Signal Mountain - Grand Teton National Park,24,43,-110
230,Baker Creek - Great Basin National Park,25,38,-114
231,Lower Lehman  - Great Basin National Park,25,39,-114
232,Upper Lehman  - Great Basin National Park,25,39,-114
234,Pinyon Flats - Sand Dunes National Monument,26,37,-105
235,Balsam Mountain - Great Smoky Mountains,27,35,-83
233,Wheeler Peak - Great Basin National Park,25,39,-114
236,Big Creek - Great Smoky Mountains,27,35,-83
237,Cataloochee - Great Smoky Mountains,27,35,-83
238,Deep Creek - Great Smoky Mountains,27,35,-83
239,Smokemont - Smoky Mountains National Park,27,35,-83
241,Cades Cove  - Great Smoky Mountains National Park,27,35,-83
